대지위치,시군구코드,법정동코드,대지구분코드,번,지,사용년월,도로명대지위치,새주소일련번호,새주소도로코드,새주소지상지하코드,새주소본번,새주소부번,사용량(KWh)
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202503,서울특별시 성동구 사근동길 72 (사근동) ,1,112004109297,0,72,0,159
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202504,서울특별시 성동구 사근동길 74 (사근동) ,1,112004109297,0,74,0,153
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202505,서울특별시 성동구 사근동길 72 (사근동) ,1,112004109297,0,72,0,136
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202506,서울특별시 성동구 사근동길 74 (사근동) ,1,112004109297,0,74,0,111
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202507,서울특별시 성동구 사근동길 74 (사근동) ,1,112004109297,0,74,0,123
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202508,서울특별시 성동구 사근동길 72 (사근동) ,1,112004109297,0,72,0,152
서울특별시 성동구 사근동 198-5,11200,10600,0,0198,0005,202509,서울특별시 성동구 사근동길 72 (사근동) ,1,112004109297,0,72,0,159
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202501,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,17384
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202502,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,18625
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202503,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,17326
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202504,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,12174
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202505,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,5228
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202506,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,4527
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202507,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,7209
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202508,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,7944
서울특별시 성동구 사근동 198-7,11200,10600,0,0198,0007,202509,서울특별시 성동구 사근동10길 9 (사근동) ,1,112004109282,0,9,0,5620
